Kilometro_num,Provincia,Cantón,region,Rural_urbano,Calzada_vertical,Calzada_horizontal,hora_grupo,fin_semana,estacion,calzada_tipo,estado_via,clima_grupo,tipo_colision,severidad_tipo_LLM,cobertura_emergencias_canton
5.0,cartago,cartago,central,urbana,plano,curva,18:00-23:59,0,invierno,pavimentada,buena,bueno,alcance,7,10
4.0,guanacaste,santa cruz,chorotega,urbana,plano,curva,18:00-23:59,0,invierno,pavimentada,buena,bueno,frontal,9,6
18.0,alajuela,alajuela,central,urbana,plano,recta,18:00-23:59,0,invierno,pavimentada,buena,bueno,interseccion,9,10
3.0,puntarenas,puntarenas,pacífico central,urbana,plano,recta,12:00-17:59,0,invierno,pavimentada,buena,bueno,alcance,7,7
29.0,puntarenas,osa,brunca,rural,pendiente,curva,18:00-23:59,0,verano,pavimentada,buena,bueno,interseccion,9,2
32.0,limón,pococí,huetar caribe,rural,plano,curva,12:00-17:59,1,verano,pavimentada,buena,bueno,lateral,10,6
236.0,guanacaste,liberia,chorotega,rural,pendiente,recta,00:00-05:59,0,verano,pavimentada,buena,bueno,lateral,10,9
36.0,alajuela,san carlos,huetar norte,rural,pendiente,recta,00:00-05:59,1,verano,pavimentada,buena,bueno,lateral,10,7
1.0,san josé,san josé,central,urbana,plano,curva,12:00-17:59,0,invierno,pavimentada,buena,bueno,lateral,10,10
30.0,cartago,cartago,central,urbana,pendiente,curva,12:00-17:59,0,verano,pavimentada,buena,bueno,alcance,7,10
0.0,san josé,moravia,central,urbana,pendiente,recta,18:00-23:59,0,invierno,pavimentada,riesgo,bueno,interseccion,9,10
0.0,san josé,san josé,central,urbana,pendiente,recta,18:00-23:59,1,verano,pavimentada,buena,bueno,alcance,7,10
48.0,alajuela,palmares,central,urbana,plano,recta,06:00-11:59,0,verano,pavimentada,buena,bueno,interseccion,9,6
8.0,san josé,aserrí,central,urbana,pendiente,recta,18:00-23:59,0,verano,pavimentada,buena,bueno,interseccion,9,8
103.0,limón,siquirres,huetar caribe,urbana,plano,recta,12:00-17:59,0,invierno,pavimentada,buena,bueno,frontal,9,7
7.0,heredia,sarapiquí,huetar norte,rural,plano,recta,12:00-17:59,1,invierno,pavimentada,riesgo,lluvia,lateral,10,2
0.0,guanacaste,cañas,chorotega,urbana,plano,curva,18:00-23:59,0,invierno,pavimentada,buena,bueno,lateral,10,7
